anzsic06,Area,year,geo_count,ec_count
A,A100100,2000,96,130
A,A100200,2000,198,110
A,A100300,2000,42,25
A,A100400,2000,66,40
A,A100500,2000,63,40
A,A100600,2000,21,12
A,A100700,2000,45,60
A,A100800,2000,36,60
A,A100900,2000,78,18
A,A101000,2000,42,9
A,A101100,2000,39,35
A,A101200,2000,105,20
A,A101300,2000,99,30
A,A101400,2000,42,12
A,A101500,2000,57,9
A,A101600,2000,54,15
A,A101700,2000,81,25
A,A101800,2000,63,50
A,A101900,2000,75,50
A,A102000,2000,123,30
A,A102100,2000,63,9
A,A102200,2000,108,160
A,A102300,2000,150,80
A,A102400,2000,39,45
A,A102500,2000,51,25
A,A102600,2000,114,80
A,A102700,2000,60,18
A,A102800,2000,39,160
A,A102900,2000,57,9
A,A103000,2000,39,40
A,A103100,2000,81,230
A,A103200,2000,84,35
A,A103300,2000,66,30
A,A103400,2000,78,70
A,A103500,2000,57,70
A,A103600,2000,48,6
A,A103700,2000,12,18
A,A103800,2000,9,9
A,A103900,2000,9,12
A,A104000,2000,39,30
A,A104100,2000,102,55
A,A104200,2000,12,6
A,A104300,2000,6,0
A,A104400,2000,24,3
A,A104500,2000,12,0
A,A104600,2000,15,3
A,A104700,2000,111,45
A,A104800,2000,270,180
A,A104900,2000,213,45
A,A105000,2000,6,3
A,A105100,2000,129,90
A,A105200,2000,27,25
A,A105300,2000,147,100
A,A105400,2000,330,190
A,A105500,2000,39,18
A,A105600,2000,51,9
A,A105700,2000,42,6
A,A105800,2000,6,0
A,A105900,2000,12,6
A,A106000,2000,9,0
A,A106100,2000,9,0
A,A106200,2000,15,0
A,A106300,2000,66,20
A,A106400,2000,3,0
A,A106500,2000,15,18
A,A106600,2000,15,6
A,A106700,2000,54,21
A,A106800,2000,0,0
A,A106900,2000,27,12
A,A107000,2000,3,0
A,A107100,2000,30,120
A,A107200,2000,12,35
A,A107300,2000,6,3
A,A107400,2000,3,0
A,A107500,2000,6,0
A,A107600,2000,27,3
A,A107700,2000,60,30
A,A107800,2000,267,100
A,A107900,2000,9,25
A,A108000,2000,81,20
A,A108100,2000,3,0
A,A108200,2000,3,0
A,A108300,2000,12,0
A,A108400,2000,18,12
A,A108500,2000,66,30
A,A108600,2000,201,60
A,A108700,2000,12,0
A,A108800,2000,33,9
A,A108900,2000,18,40
A,A109000,2000,111,40
A,A109100,2000,489,320
A,A109200,2000,336,210
A,A109300,2000,72,80
A,A109400,2000,396,150
A,A109500,2000,162,100
A,A109600,2000,54,30
A,A109700,2000,165,110
A,A109800,2000,96,40
A,A109900,2000,15,0
A,A110000,2000,3,0
A,A110100,2000,12,6
A,A110200,2000,192,65
A,A110300,2000,3,0
A,A110400,2000,291,120
A,A110500,2000,60,30
A,A110600,2000,0,0
A,A110700,2000,177,120
A,A110800,2000,141,40
A,A110900,2000,81,30
